Product code,Station number,Year,Month,Monthly mean daily global solar exposure (MJ/m*m)
IDCJAC0003,009192,1990,01,27.8
IDCJAC0003,009192,1990,02,25.1
IDCJAC0003,009192,1990,03,18.5
IDCJAC0003,009192,1990,04,14.3
IDCJAC0003,009192,1990,05,10.7
IDCJAC0003,009192,1990,06,8.8
IDCJAC0003,009192,1990,07,9.5
IDCJAC0003,009192,1990,08,12.1
IDCJAC0003,009192,1990,09,16.9
IDCJAC0003,009192,1990,10,21.9
IDCJAC0003,009192,1990,11,27.0
IDCJAC0003,009192,1990,12,30.5
IDCJAC0003,009192,1991,01,30.6
IDCJAC0003,009192,1991,02,24.9
IDCJAC0003,009192,1991,03,21.6
IDCJAC0003,009192,1991,04,15.1
IDCJAC0003,009192,1991,05,10.8
IDCJAC0003,009192,1991,06,7.6
IDCJAC0003,009192,1991,07,8.2
IDCJAC0003,009192,1991,08,12.7
IDCJAC0003,009192,1991,09,16.6
IDCJAC0003,009192,1991,10,23.0
IDCJAC0003,009192,1991,11,25.8
IDCJAC0003,009192,1991,12,29.5
IDCJAC0003,009192,1992,01,28.5
IDCJAC0003,009192,1992,02,23.2
IDCJAC0003,009192,1992,03,18.9
IDCJAC0003,009192,1992,04,15.9
IDCJAC0003,009192,1992,05,11.2
IDCJAC0003,009192,1992,06,8.5
IDCJAC0003,009192,1992,07,9.4
IDCJAC0003,009192,1992,08,11.4
IDCJAC0003,009192,1992,09,15.5
IDCJAC0003,009192,1992,10,22.2
IDCJAC0003,009192,1992,11,23.5
IDCJAC0003,009192,1992,12,30.8
IDCJAC0003,009192,1993,01,29.5
IDCJAC0003,009192,1993,02,26.9
IDCJAC0003,009192,1993,03,19.7
IDCJAC0003,009192,1993,04,14.2
IDCJAC0003,009192,1993,05,10.9
IDCJAC0003,009192,1993,06,9.1
IDCJAC0003,009192,1993,07,9.8
IDCJAC0003,009192,1993,08,11.8
IDCJAC0003,009192,1993,09,16.2
IDCJAC0003,009192,1993,10,21.4
IDCJAC0003,009192,1993,11,25.8
IDCJAC0003,009192,1993,12,31.5
IDCJAC0003,009192,1994,01,30.8
IDCJAC0003,009192,1994,02,25.1
IDCJAC0003,009192,1994,03,20.6
IDCJAC0003,009192,1994,04,16.0
IDCJAC0003,009192,1994,05,11.0
IDCJAC0003,009192,1994,06,8.6
IDCJAC0003,009192,1994,07,10.2
IDCJAC0003,009192,1994,08,15.4
IDCJAC0003,009192,1994,09,17.3
IDCJAC0003,009192,1994,10,20.6
IDCJAC0003,009192,1994,11,27.6
IDCJAC0003,009192,1994,12,31.7
IDCJAC0003,009192,1995,01,30.6
IDCJAC0003,009192,1995,02,27.3
IDCJAC0003,009192,1995,03,21.1
IDCJAC0003,009192,1995,04,16.4
IDCJAC0003,009192,1995,05,11.6
IDCJAC0003,009192,1995,06,8.4
IDCJAC0003,009192,1995,07,9.5
IDCJAC0003,009192,1995,08,13.0
IDCJAC0003,009192,1995,09,17.7
IDCJAC0003,009192,1995,10,24.9
IDCJAC0003,009192,1995,11,26.6
IDCJAC0003,009192,1995,12,28.4
IDCJAC0003,009192,1996,01,30.4
IDCJAC0003,009192,1996,02,27.2
IDCJAC0003,009192,1996,03,21.4
IDCJAC0003,009192,1996,04,15.2
IDCJAC0003,009192,1996,05,11.3
IDCJAC0003,009192,1996,06,8.0
IDCJAC0003,009192,1996,07,8.8
IDCJAC0003,009192,1996,08,13.7
IDCJAC0003,009192,1996,09,16.9
IDCJAC0003,009192,1996,10,24.9
IDCJAC0003,009192,1996,11,27.0
IDCJAC0003,009192,1996,12,31.2
IDCJAC0003,009192,1997,01,31.1
IDCJAC0003,009192,1997,02,24.2
IDCJAC0003,009192,1997,03,22.0
IDCJAC0003,009192,1997,04,13.8
IDCJAC0003,009192,1997,05,10.8
IDCJAC0003,009192,1997,06,8.7
IDCJAC0003,009192,1997,07,10.7
IDCJAC0003,009192,1997,08,13.7
IDCJAC0003,009192,1997,09,17.4
IDCJAC0003,009192,1997,10,23.6
IDCJAC0003,009192,1997,11,25.3
IDCJAC0003,009192,1997,12,31.1
IDCJAC0003,009192,1998,01,30.0
IDCJAC0003,009192,1998,02,28.1
IDCJAC0003,009192,1998,03,21.3
IDCJAC0003,009192,1998,04,16.1
IDCJAC0003,009192,1998,05,10.9
IDCJAC0003,009192,1998,06,8.5
IDCJAC0003,009192,1998,07,9.3
IDCJAC0003,009192,1998,08,12.2
IDCJAC0003,009192,1998,09,18.4
IDCJAC0003,009192,1998,10,24.2
IDCJAC0003,009192,1998,11,27.0
IDCJAC0003,009192,1998,12,29.3
IDCJAC0003,009192,1999,01,29.9
IDCJAC0003,009192,1999,02,29.1
IDCJAC0003,009192,1999,03,21.2
IDCJAC0003,009192,1999,04,16.2
IDCJAC0003,009192,1999,05,9.0
IDCJAC0003,009192,1999,06,9.7
IDCJAC0003,009192,1999,07,10.7
IDCJAC0003,009192,1999,08,13.7
IDCJAC0003,009192,1999,09,16.6
IDCJAC0003,009192,1999,10,22.3
IDCJAC0003,009192,1999,11,29.4
IDCJAC0003,009192,1999,12,29.4
IDCJAC0003,009192,2000,01,24.7
IDCJAC0003,009192,2000,02,28.5
IDCJAC0003,009192,2000,03,22.0
IDCJAC0003,009192,2000,04,15.4
IDCJAC0003,009192,2000,05,12.0
IDCJAC0003,009192,2000,06,9.3
IDCJAC0003,009192,2000,07,9.3
IDCJAC0003,009192,2000,08,13.2
IDCJAC0003,009192,2000,09,17.3
IDCJAC0003,009192,2000,10,25.2
IDCJAC0003,009192,2000,11,27.5
IDCJAC0003,009192,2000,12,31.6
IDCJAC0003,009192,2001,01,28.6
IDCJAC0003,009192,2001,02,25.4
IDCJAC0003,009192,2001,03,23.4
IDCJAC0003,009192,2001,04,16.1
IDCJAC0003,009192,2001,05,10.6
IDCJAC0003,009192,2001,06,10.5
IDCJAC0003,009192,2001,07,10.7
IDCJAC0003,009192,2001,08,12.9
IDCJAC0003,009192,2001,09,15.4
IDCJAC0003,009192,2001,10,23.4
IDCJAC0003,009192,2001,11,26.9
IDCJAC0003,009192,2001,12,29.9
IDCJAC0003,009192,2002,01,29.9
IDCJAC0003,009192,2002,02,27.4
IDCJAC0003,009192,2002,03,22.4
IDCJAC0003,009192,2002,04,14.7
IDCJAC0003,009192,2002,05,11.1
IDCJAC0003,009192,2002,06,8.7
IDCJAC0003,009192,2002,07,9.5
IDCJAC0003,009192,2002,08,13.9
IDCJAC0003,009192,2002,09,18.7
IDCJAC0003,009192,2002,10,22.0
IDCJAC0003,009192,2002,11,28.9
IDCJAC0003,009192,2002,12,30.2
IDCJAC0003,009192,2003,01,29.5
IDCJAC0003,009192,2003,02,26.1
IDCJAC0003,009192,2003,03,21.6
IDCJAC0003,009192,2003,04,13.7
IDCJAC0003,009192,2003,05,10.8
IDCJAC0003,009192,2003,06,9.7
IDCJAC0003,009192,2003,07,8.9
IDCJAC0003,009192,2003,08,12.8
IDCJAC0003,009192,2003,09,16.9
IDCJAC0003,009192,2003,10,23.9
IDCJAC0003,009192,2003,11,27.5
IDCJAC0003,009192,2003,12,30.3
IDCJAC0003,009192,2004,01,30.2
IDCJAC0003,009192,2004,02,25.9
IDCJAC0003,009192,2004,03,22.9
IDCJAC0003,009192,2004,04,14.9
IDCJAC0003,009192,2004,05,11.0
IDCJAC0003,009192,2004,06,8.0
IDCJAC0003,009192,2004,07,10.9
IDCJAC0003,009192,2004,08,12.5
IDCJAC0003,009192,2004,09,19.0
IDCJAC0003,009192,2004,10,22.7
IDCJAC0003,009192,2004,11,26.6
IDCJAC0003,009192,2004,12,29.8
IDCJAC0003,009192,2005,01,30.8
IDCJAC0003,009192,2005,02,25.5
IDCJAC0003,009192,2005,03,17.4
IDCJAC0003,009192,2005,04,15.2
IDCJAC0003,009192,2005,05,10.2
IDCJAC0003,009192,2005,06,8.2
IDCJAC0003,009192,2005,07,11.4
IDCJAC0003,009192,2005,08,12.8
IDCJAC0003,009192,2005,09,17.8
IDCJAC0003,009192,2005,10,23.2
IDCJAC0003,009192,2005,11,28.9
IDCJAC0003,009192,2006,01,27.0
IDCJAC0003,009192,2006,02,27.7
IDCJAC0003,009192,2006,03,22.7
IDCJAC0003,009192,2006,04,16.6
IDCJAC0003,009192,2006,05,11.6
IDCJAC0003,009192,2006,06,10.1
IDCJAC0003,009192,2006,07,10.2
IDCJAC0003,009192,2006,08,12.8
IDCJAC0003,009192,2006,09,18.4
IDCJAC0003,009192,2006,10,24.3
IDCJAC0003,009192,2006,11,26.2
IDCJAC0003,009192,2006,12,30.8
IDCJAC0003,009192,2007,01,28.1
IDCJAC0003,009192,2007,02,25.0
IDCJAC0003,009192,2007,03,22.8
IDCJAC0003,009192,2007,04,15.8
IDCJAC0003,009192,2007,05,11.1
IDCJAC0003,009192,2007,06,10.0
IDCJAC0003,009192,2007,07,8.6
IDCJAC0003,009192,2007,08,12.4
IDCJAC0003,009192,2007,09,17.4
IDCJAC0003,009192,2007,10,23.2
IDCJAC0003,009192,2007,11,30.6
IDCJAC0003,009192,2007,12,27.7
IDCJAC0003,009192,2008,01,28.8
IDCJAC0003,009192,2008,02,24.9
IDCJAC0003,009192,2008,03,21.7
IDCJAC0003,009192,2008,04,15.8
IDCJAC0003,009192,2008,05,11.2
IDCJAC0003,009192,2008,06,9.5
IDCJAC0003,009192,2008,07,9.3
IDCJAC0003,009192,2008,08,15.2
IDCJAC0003,009192,2008,09,17.6
IDCJAC0003,009192,2008,10,22.0
IDCJAC0003,009192,2008,11,28.1
IDCJAC0003,009192,2008,12,30.9
IDCJAC0003,009192,2009,01,30.1
IDCJAC0003,009192,2009,02,25.8
IDCJAC0003,009192,2009,03,22.3
IDCJAC0003,009192,2009,04,16.1
IDCJAC0003,009192,2009,05,12.3
IDCJAC0003,009192,2009,06,9.0
IDCJAC0003,009192,2009,07,10.5
IDCJAC0003,009192,2009,08,13.5
IDCJAC0003,009192,2009,09,17.0
IDCJAC0003,009192,2009,10,23.3
IDCJAC0003,009192,2009,11,27.4
IDCJAC0003,009192,2009,12,31.9
IDCJAC0003,009192,2010,01,32.0
IDCJAC0003,009192,2010,02,26.5
IDCJAC0003,009192,2010,03,21.8
IDCJAC0003,009192,2010,04,16.0
IDCJAC0003,009192,2010,05,12.2
IDCJAC0003,009192,2010,06,9.8
IDCJAC0003,009192,2010,07,10.6
IDCJAC0003,009192,2010,08,13.9
IDCJAC0003,009192,2010,09,19.5
IDCJAC0003,009192,2010,10,25.6
IDCJAC0003,009192,2010,11,26.7
IDCJAC0003,009192,2010,12,28.8
IDCJAC0003,009192,2011,01,27.7
IDCJAC0003,009192,2011,02,26.4
IDCJAC0003,009192,2011,03,23.3
IDCJAC0003,009192,2011,04,16.9
IDCJAC0003,009192,2011,05,11.8
IDCJAC0003,009192,2011,06,8.9
IDCJAC0003,009192,2011,07,9.2
IDCJAC0003,009192,2011,08,14.1
IDCJAC0003,009192,2011,09,16.7
IDCJAC0003,009192,2011,10,20.7
IDCJAC0003,009192,2011,11,26.4
IDCJAC0003,009192,2011,12,27.7
IDCJAC0003,009192,2012,01,28.9
IDCJAC0003,009192,2012,02,25.3
IDCJAC0003,009192,2012,03,24.7
IDCJAC0003,009192,2012,04,15.1
IDCJAC0003,009192,2012,05,11.6
IDCJAC0003,009192,2012,06,8.5
IDCJAC0003,009192,2012,07,11.4
IDCJAC0003,009192,2012,08,14.0
IDCJAC0003,009192,2012,09,18.5
IDCJAC0003,009192,2012,10,23.5
IDCJAC0003,009192,2012,11,26.9
IDCJAC0003,009192,2012,12,29.0
IDCJAC0003,009192,2013,01,29.2
IDCJAC0003,009192,2013,02,27.2
IDCJAC0003,009192,2013,03,21.3
IDCJAC0003,009192,2013,04,13.5
IDCJAC0003,009192,2013,05,11.3
IDCJAC0003,009192,2013,06,9.9
IDCJAC0003,009192,2013,07,10.0
IDCJAC0003,009192,2013,08,12.9
IDCJAC0003,009192,2013,09,15.3
IDCJAC0003,009192,2013,10,22.9
IDCJAC0003,009192,2013,11,27.3
IDCJAC0003,009192,2013,12,30.4
IDCJAC0003,009192,2014,01,30.0
IDCJAC0003,009192,2014,02,27.4
IDCJAC0003,009192,2014,03,20.0
IDCJAC0003,009192,2014,04,15.3
IDCJAC0003,009192,2014,05,9.8
IDCJAC0003,009192,2014,06,9.5
IDCJAC0003,009192,2014,07,9.6
IDCJAC0003,009192,2014,08,12.3
IDCJAC0003,009192,2014,09,16.4
IDCJAC0003,009192,2014,10,21.8
IDCJAC0003,009192,2014,11,25.0
IDCJAC0003,009192,2014,12,30.9
IDCJAC0003,009192,2015,01,29.2
IDCJAC0003,009192,2015,02,23.8
IDCJAC0003,009192,2015,03,20.4
IDCJAC0003,009192,2015,04,14.3
IDCJAC0003,009192,2015,05,11.9
IDCJAC0003,009192,2015,06,9.9
IDCJAC0003,009192,2015,07,9.3
IDCJAC0003,009192,2015,08,12.6
IDCJAC0003,009192,2015,09,19.2
IDCJAC0003,009192,2015,10,22.0
IDCJAC0003,009192,2015,11,28.0
IDCJAC0003,009192,2015,12,29.6
IDCJAC0003,009192,2016,01,25.2
IDCJAC0003,009192,2016,02,26.7
IDCJAC0003,009192,2016,03,19.7
IDCJAC0003,009192,2016,04,13.7
IDCJAC0003,009192,2016,05,11.5
IDCJAC0003,009192,2016,06,9.8
IDCJAC0003,009192,2016,07,10.7
IDCJAC0003,009192,2016,08,12.6
IDCJAC0003,009192,2016,09,16.9
IDCJAC0003,009192,2016,10,22.5
IDCJAC0003,009192,2016,11,28.3
IDCJAC0003,009192,2016,12,29.3
IDCJAC0003,009192,2017,01,27.0
IDCJAC0003,009192,2017,02,23.9
IDCJAC0003,009192,2017,03,19.1
IDCJAC0003,009192,2017,04,16.4
IDCJAC0003,009192,2017,05,11.8
IDCJAC0003,009192,2017,06,10.7
IDCJAC0003,009192,2017,07,9.6
IDCJAC0003,009192,2017,08,12.6
IDCJAC0003,009192,2017,09,17.1
IDCJAC0003,009192,2017,10,21.7
IDCJAC0003,009192,2017,11,28.0
IDCJAC0003,009192,2017,12,29.0
IDCJAC0003,009192,2018,01,28.1
IDCJAC0003,009192,2018,02,24.9
IDCJAC0003,009192,2018,03,19.6
IDCJAC0003,009192,2018,04,15.1
IDCJAC0003,009192,2018,05,11.8
IDCJAC0003,009192,2018,06,9.4
IDCJAC0003,009192,2018,07,10.2
IDCJAC0003,009192,2018,08,12.7
IDCJAC0003,009192,2018,09,16.6
